id,nama,email,no_hp,tanggal_daftar,status
353,Mega Hakim,mega748@yahoo.com,08116980420,2021-03-09,Pending
354,galih susanto,galih671@gmail.com,08126451046,2020-04-08,Nonaktif
355,Andi Setiawan,andi612@ymail.com,08122387800,10 Oct 2020,AKTIF
356,Bambang Hartono,bambang19@outlook.com,08235438404,2022-05-05,Suspend
357,FAuzI HidaYAt,fauzi556@yahoo.com,08212983248,2019-08-07,suspand
358,Rina Ramadhan,rina326@gmail.com,08538125205,2022-23-08,AKTIF
359,Fauzi Pratama,fauzi110@yahoo.com,08130994999,03 Aug 2020,Aktif
360,SITI NUGROHO,siti799@hotmail.com,08138975267,2023-04-25,Aktif
361,Yuni Rahayu,yuni993@gmail.com,08226333127,2024-02-12,pending
362,Doni Hidayat,doni795@gmail.com,08586569998,2023/11/22,suspend
363,AHMAD FIRMANSYAH,ahmad468@gmail.com,08218860868,2018-07-21,AKTIF
364,Rudi Purnomo,rudi293@hotmail.com,08136490827,2023-01-25,pending
365,Sri Sari,sri961@ymail.com,08136657027,2024/08/14,suspend
366,Doni Wijaya,doni709@yahoo.com,08121175186,27 Sep 2023,Suspend
367,Ayu Hakim,ayu787@yahoo.com,08239222206,15-06-2021,pending
368,Maya Purnomo,maya121@yahoo.com,08210940777,2024-02-05,NON AKTIF
369,Bambang Hidayat,bambang676@hotmail.com,08526719903,20-02-2024,non-aktif
370,surya wibowo,surya152@gmail.com,08230209945,2018-12-26,aktif
371,Agus Sari,agus626@ymail.com,08588279501,10-05-2021,aktip
372,Ayu Wijaya,ayu864@ymail.com,08124721458,22 Aug 2022,Aktif
373,hendra iskandar,hendra586@ymail.com,08127946954,23 Nov 2023,suspand
374,Putri Pratama,putri509@ymail.com,08527293430,2019-04-30,nonaktif
375,Sri Wibowo,sri425@hotmail.com,08115583034,2020-11-08,AKTIF
376,Ratna Hakim,ratna7@gmail.com,08235699023,15-09-2021,Suspend
377,Citra Permana,citra662@yahoo.com,08522785760,05-11-2023,Nonaktif
378,Indah Hakim,indah214@ymail.com,08235124056,2023-12-29,Nonaktif
379,Ayu Sari,ayu886@outlook.com,08230461735,26-01-2023,Aktif
380,WAHYU SARI,wahyu804@gmail.com,08211780782,19-02-2020,Suspend
381,Hendro Purnomo,hendro147@gmail.com,08532307681,17-01-2018,Suspend
382,Febri Wijaya,febri911@gmail.com,08128409435,2020-04-01,AKTIF
383,Wulan Setiawan,wulan688@gmail.com,08222241098,2023-10-07,Aktif
384,Putri Hakim,bagas586@hotmail.com,08583214958,2022-12-23,aktif
385,CITRA RAHAYU,citra56@gmail.com,08516299795,03-07-2021,PENDING
386,Wulan Wijaya,fitri956@gmail.com,08582171747,2023-04-12,Suspend
387,Rina Iskandar,rina373@hotmail.com,08135577017,08-04-2019,nonaktif
388,Dian Purnomo,dian619@ymail.com,08138161581,22 May 2021,nonaktif
389,Eko Saputra,eko250@ymail.com,08137615396,19 Nov 2022,Pending
390,WULAn hidayAT,wulan611@hotmail.com,08237013290,2019/08/24,aktif
391,Wulan Purnomo,wulan592@hotmail.com,08213549465,01 Jan 2019,aktif
392,Ratna Hartono,ratna873@outlook.com,08115800851,2021-03-01,Aktif
393,Eko Hartono,eko729@hotmail.com,08516683272,10 Feb 2020,nonaktif
394,FAjar saPuTra,fajar808@ymail.com,08519278687,25-04-2022,Aktif
395,teguh iskandar,teguh511@yahoo.com,08534689500,2024-16-05,pending
396,Sri Ramadhan,sri708@gmail.com,08138478189,2018-12-29,nonaktif
397,Rizki Hakim,rizki320@ymail.com,08115807787,2024/06/08,aktiff
398,Putri Purnomo,putri37@ymail.com,08229407929,2018/07/31,suspand
399,Galih Santoso,galih85@yahoo.com,08531442944,2020-11-18,pending
400,Febri Sari,febri757@yahoo.com,08525243728,16-05-2018,suspand
401,Rina Iskandar,rina158@hotmail.com,08516372395,2018/08/11,Aktif
402,srI RaHayU,muhammad64@ymail.com,08526580185,04 Nov 2022,Suspend
403,Fauzi Setiawan,ratna334@ymail.com,08229673938,2021/10/14,pending
404,Agus Setiawan,agus689@gmail.com,08120618175,2020/06/17,AKTIF
405,fitri rahayu,fitri95@gmail.com,08583911192,2022/03/20,Pending
406,Nisa Sari,nisa713@yahoo.com,08224717465,2020-11-20,Pending
407,Fauzi Rahayu,fauzi341@gmail.com,08224271739,2022-05-28,nonaktiff
408,Andi Pratama,andi442@yahoo.com,08581741011,2024/05/29,Aktif
409,Maya Santoso,maya153@gmail.com,08116425690,2023/10/13,Suspend
410,Bambang Permana,bambang865@gmail.com,08533067198,10-01-2022,pending
411,Rudi Rahayu,rudi982@gmail.com,08238517432,2024-03-21,SUSPEND
412,Fitri Purnomo,fitri918@gmail.com,08237173203,2018/04/14,suspand
413,Reza Permana,reza812@ymail.com,08227870050,2021/10/15,aktif
414,Sri Wibowo,sri684@ymail.com,08528293102,2023/06/26,aktif
415,Galih Rahayu,galih665@yahoo.com,08112041792,2024-08-17,PENDING
416,Andi Kusuma,andi819@ymail.com,08211365651,17 Jun 2024,aktif
417,Hendra Rahayu,hendra344@gmail.com,08124262582,2022-12-02,Suspend
418,AHMAD PRATAMA,ahmad868@ymail.com,08512071002,2019/01/01,nonaktiff
419,Lestari Saputra,lestari812@hotmail.com,08133248763,16 Dec 2019,pending
420,Febri Sari,febri627@gmail.com,08225608331,2023-12-12,non-aktif
421,Wulan Firmansyah,wulan789@yahoo.com,08220312772,2019/10/17,Suspend
422,Dewi Nugroho,dewi446@outlook.com,08239701082,2019-10-10,nonaktif
423,Sri Wijaya,sri739@hotmail.com,08589563531,2021-08-28,aktif
424,Sari Wibowo,sari226@gmail.com,08529706239,2023-02-07,nonaktif
425,Muhammad Laksono,muhammad648@outlook.com,08223520904,2019-07-14,panding
426,dONI SaPUtRa,doni222@ymail.com,08527406335,14 Nov 2022,Aktif
427,Eko Pratama,eko920@gmail.com,08510078068,2022-04-06,PENDING
428,Andi Laksono,andi86@ymail.com,08116325431,2018-07-03,pending
429,Dian Laksono,dian766@ymail.com,08117726257,2018/01/06,aktif
430,bagas firmansyah,bagas437@outlook.com,08588931950,2023/10/10,aktip
431,Dewi Kusuma,dewi477@ymail.com,08115528183,21-07-2019,Aktif
432,Sri Permana,sri771@ymail.com,08213554864,2018-08-12,aktip
433,Maya Permana,maya850@gmail.com,08528847951,2020-11-02,aktif
434,Rudi Sari,rudi980@gmail.com,08122412723,2023/11/03,aktif
435,Sari Hakim,sari486@outlook.com,08517043103,2023/10/30,aktiff
436,Eko Setiawan,eko806@outlook.com,08529887749,25-06-2019,Aktif
437,Mega Hidayat,mega995@outlook.com,08112547292,02-01-2024,Aktif
438,aGUs pRATamA,agus547@outlook.com,08120672752,2018/01/18,Nonaktif
439,Ratna Setiawan,ratna303@hotmail.com,08229297517,2018-06-14,pending
440,sri purnomo,sri633@yahoo.com,08525150939,2023-11-27,Pending
441,fauzi wibowo,fauzi552@hotmail.com,08128637599,2023-09-27,suspend
442,Fajar HaRtONo,fajar826@hotmail.com,08512991234,29 Apr 2023,suspand
443,Rizki Ramadhan,rizki91@gmail.com,08514628792,2020-03-27,PENDING
444,Lestari Hakim,lestari843@outlook.com,08584787300,23-09-2019,AKTIF
445,Citra Kusuma,citra915@outlook.com,08512730147,01 Oct 2018,pending
446,Eko Permana,eko890@outlook.com,08521589042,2024-07-10,aktif
447,Doni Pratama,doni55@outlook.com,08236504481,2023-10-06,Pending
448,Agus Kusuma,agus172@ymail.com,08235445189,2021-12-11,aktif
449,Hendro Purnomo,hendro497@hotmail.com,08232132833,07 Apr 2024,pending
450,Hendro Hakim,hendro720@gmail.com,08517112075,2021/06/30,aktip
451,Maya Iskandar,maya994@outlook.com,08134013223,2021-06-13,Aktif
452,Nur Saputra,nur803@gmail.com,08120760310,05 Oct 2023,aktif
453,sri susanto,sri309@gmail.com,08121939325,2018-04-30,aktif
454,Fauzi Ramadhan,fauzi165@ymail.com,08583891190,2023-12-07,pending
455,Lestari Sari,lestari551@gmail.com,08123875927,2019-03-16,PENDING
456,Ayu Saputra,ayu234@hotmail.com,08125171827,2022/01/19,AKTIF
457,Ahmad Wijaya,ahmad119@hotmail.com,08227947386,2021-05-04,Aktif
458,Rizki Permana,rizki377@yahoo.com,08117167811,2019-11-08,nonaktif
459,Eko Kusuma,eko914@yahoo.com,08125353961,2020-11-08,pending
460,Fauzi Ramadhan,fauzi775@hotmail.com,08237967842,2023-02-06,aktif
461,Bambang Permana,bambang966@yahoo.com,08111017026,2024/10/12,aktiff
462,Wahyu Iskandar,wahyu779@gmail.com,08537734778,07 Dec 2020,aktiff
463,wulan hakim,wulan783@gmail.com,08511675677,2018-05-28,Aktif
464,Wahyu Sari,wahyu138@outlook.com,08517197889,2023-09-04,Nonaktif
465,dian firmansyah,dian270@hotmail.com,08586954500,2024-08-15,aktif
466,Fajar Nugroho,fajar598@gmail.com,08236165565,2018/08/20,Aktif
467,Reza Purnomo,reza933@gmail.com,08221520850,2023/03/03,suspend
468,Nisa Firmansyah,nisa274@gmail.com,08529056965,2024-06-03,PENDING
469,Andi Wibowo,andi515@outlook.com,08139456371,2024-01-04,AKTIF
470,Dewi Purnomo,dewi412@yahoo.com,08581919541,09 May 2024,nonaktif
471,Hendra Nugroho,maya834@ymail.com,08534685366,26 Oct 2020,Nonaktif
472,Surya Sari,surya643@ymail.com,08139737489,12 Nov 2022,pending
473,Dewi Firmansyah,dewi474@yahoo.com,08212466513,17-08-2022,PENDING
474,Dian Susanto,sari808@outlook.com,08211230347,12 Jun 2023,suspand
475,Teguh Rahayu,teguh280@yahoo.com,08114482070,2018-08-15,AKTIF
476,Wahyu Wijaya,wahyu417@outlook.com,08126231981,2023/11/08,PENDING
477,Hendro Susanto,hendro93@yahoo.com,08581559636,2020-06-11,aktif
478,Hendra Susanto,hendra261@ymail.com,08117851586,2023/04/30,Aktif
479,Fauzi Pratama,fauzi733@outlook.com,08220900348,25-04-2022,non-aktif
480,Fajar Kusuma,fajar243@hotmail.com,08510644134,2020-05-11,Suspend
481,Indah Saputra,indah281@gmail.com,08527656124,2023-09-05,aktiff
482,Febri Hakim,febri465@gmail.com,08112720634,09 Jul 2021,aktif
483,Dian Hidayat,dian993@yahoo.com,08586577242,26-08-2024,Pending
484,Fitri Wijaya,fitri187@hotmail.com,08519300893,2018-31-12,Aktif
485,Dian Rahayu,dian440@ymail.com,08222152910,2023-24-11,Pending
486,DONI PERMANA,doni731@yahoo.com,08214476263,2024-09-23,suspand
487,Lestari Wibowo,lestari419@yahoo.com,08114439735,2024/07/15,nonaktiff
488,Nur Santoso,nur893@outlook.com,08513669411,2024-03-31,aktif
489,Reza Permana,reza621@ymail.com,08110489646,2022-02-28,SUSPEND
490,Surya Rahayu,surya267@yahoo.com,08537572158,2022-11-09,Aktif
491,Indah Rahayu,indah512@outlook.com,08236449485,2022-11-20,AKTIF
492,Bambang Pratama,bambang946@hotmail.com,08113203207,2020-12-01,pending
493,Teguh Kusuma,teguh950@hotmail.com,08117587771,2019-08-30,aktiff
494,hEnDRA PUrnOMO,hendra27@outlook.com,08126591520,2018-29-11,PENDING
495,Citra Laksono,citra276@ymail.com,08115097592,2020-05-15,Pending
496,Lestari Setiawan,nisa612@ymail.com,08539616423,2022-06-22,aktif
497,Hendra Sari,hendra413@outlook.com,08131476492,2022/01/10,aktif
498,fajAr fiRmANSYAH,fajar540@ymail.com,08124761742,2019/06/08,suspend
499,Reza Firmansyah,reza583@gmail.com,08531081866,2019-23-01,nonaktiff
500,Nisa Susanto,nisa600@gmail.com,08530172260,2018-08-12,suspend
501,Wahyu Setiawan,wahyu466@hotmail.com,08584523219,2020/11/28,aktif
502,wulan santoso,wulan120@gmail.com,08137769749,01-12-2024,pending
503,RUDI PURNOMO,rudi139@gmail.com,08211030372,2020-17-09,panding
504,WULAN WIBOWO,wulan789@hotmail.com,08137601227,2023-10-06,aktif
505,Maya Ramadhan,maya302@ymail.com,08510501667,28 Jun 2024,pending
506,Lestari Rahayu,lestari498@ymail.com,08589730806,18-06-2024,Nonaktif
507,Fauzi Saputra,fauzi120@hotmail.com,08585760243,07-04-2023,nonaktif
508,Ratna Hidayat,ratna702@outlook.com,08587246657,26 Oct 2019,Aktif
509,NUR PERMANA,rizki320@ymail.com,08587167433,2024-03-30,suspand
510,Putri Susanto,putri163@yahoo.com,08530156193,10 May 2019,Aktif
511,Mega Setiawan,mega788@gmail.com,08534289107,2023-02-16,SUSPEND
512,Galih Iskandar,galih971@gmail.com,08530812135,2019/10/06,AKTIF
513,Maya Firmansyah,maya892@gmail.com,08135521376,2018-01-27,PENDING
514,Citra Setiawan,citra176@gmail.com,08225653286,2020-07-23,Pending
515,Sari Saputra,sari975@ymail.com,08230720811,17-10-2021,nonaktif
516,dian saputra,dian778@gmail.com,08139084668,2021/05/31,pending
517,Putri Santoso,putri922@ymail.com,08582673899,2022/12/17,aktiff
518,Rudi Wibowo,rudi87@gmail.com,08535628843,16 Jan 2019,Nonaktif
519,Hendro Setiawan,hendro164@gmail.com,08118943468,2019/03/29,aktif
520,Fajar Susanto,fajar363@gmail.com,08111749075,2020/08/25,suspand
521,Nisa Hakim,nisa240@outlook.com,08224926831,04 Sep 2021,NON AKTIF
522,FAJAR LAKSONO,fajar729@hotmail.com,08511106273,2023-01-02,aktip
523,Hendro Hartono,hendro532@hotmail.com,08229767762,15 Aug 2019,aktif
524,Doni Pratama,doni526@ymail.com,08123770285,02 May 2019,panding
525,Sri Kusuma,sri297@gmail.com,08532154544,2023-06-14,Pending
526,Rina Ramadhan,rina960@outlook.com,08223270185,2018-10-04,nonaktif
527,Nisa Purnomo,nisa922@outlook.com,08517922877,2023-01-14,suspend
528,Indah Wijaya,indah681@ymail.com,08516365807,2021/02/10,aktif
529,Dian Santoso,dian816@outlook.com,08531813989,05 Aug 2018,Nonaktif
530,Citra Firmansyah,citra124@ymail.com,08130433971,26 Dec 2023,AKTIF
531,Eko Rahayu,eko957@gmail.com,08236260856,2020-11-19,aktif
532,andi hAkim,andi400@gmail.com,08232654610,2020-04-09,Pending
533,Eko Hidayat,fajar598@gmail.com,08511405786,2018-26-09,aktif
534,Yuni Santoso,yuni987@ymail.com,08123824967,2018/12/10,Nonaktif
535,Rina Nugroho,rina173@yahoo.com,08536870079,2021/03/30,SUSPEND
536,Budi Rahayu,budi494@outlook.com,08584653984,2018-07-06,pending
537,Nisa Wijaya,nisa405@gmail.com,08138463985,2021/11/04,Aktif
538,Maya Susanto,maya330@outlook.com,08217950209,2023-05-06,suspend
539,Agus Saputra,agus714@hotmail.com,08518118071,2021-16-12,PENDING
540,PUtrI harTonO,putri311@yahoo.com,08217504793,2018-01-30,suspand
541,Rudi Kusuma,rudi583@ymail.com,08522839992,25 Sep 2018,aktif
542,Rizki Pratama,rizki584@yahoo.com,08534308948,2023-02-03,Suspend
543,Dewi Setiawan,dewi417@outlook.com,08128775803,12-07-2018,Suspend
544,Wulan Laksono,wulan402@yahoo.com,08231903613,2020-03-17,aktiff
545,rizki kusuma,rizki443@gmail.com,08585431735,11-08-2018,Nonaktif
546,Reza Wijaya,reza635@hotmail.com,08127911006,2021/07/07,aktif
547,Muhammad Rahayu,muhammad453@gmail.com,08229611080,2021-22-04,nonaktif
548,Galih Saputra,galih614@ymail.com,08117676991,2021/10/23,Suspend
549,Siti Laksono,siti602@yahoo.com,08121091939,2019/06/01,Nonaktif
550,Putri Saputra,putri636@hotmail.com,08133200249,21 Nov 2022,SUSPEND
551,Putri Purnomo,fajar350@gmail.com,08137495450,22 Oct 2023,nonaktiff
552,Rina Rahayu,rina839@ymail.com,08116533315,2020/02/15,nonaktif
553,Doni Iskandar,doni873@ymail.com,08585946521,2023-02-04,Nonaktif
554,Budi Hidayat,budi478@ymail.com,08213756362,28-01-2018,aktif
555,Putri Santoso,putri146@outlook.com,08523950033,2021-03-09,Aktif
556,Mega Sari,mega568@yahoo.com,08133024102,2022/04/02,Pending
557,Sri Setiawan,sri313@hotmail.com,08215528961,2019-05-01,suspend
558,muHAmmAd WibOWO,muhammad992@ymail.com,08523179128,2022/05/09,Pending
559,Fajar Permana,fajar184@outlook.com,08238777496,2024/07/19,aktif
560,Yuni Wibowo,yuni241@hotmail.com,08214669254,2024-03-05,aktif
561,Nur Purnomo,nur361@yahoo.com,08580789567,2023-31-03,nonaktif
562,Bambang Setiawan,bambang26@yahoo.com,08523415148,02 Oct 2023,nonaktiff
563,FAUZI HIDAYAT,fauzi74@outlook.com,08118353544,2021-01-29,pending
564,Muhammad Hakim,rizki751@gmail.com,08225669078,2019-04-09,Aktif
565,Hendra Permana,hendra602@ymail.com,08527515366,2020-08-05,nonaktif
566,Surya Santoso,surya592@yahoo.com,08220755366,2022/07/11,Nonaktif
567,indah ramadhan,indah805@gmail.com,08132599996,2022-04-11,Suspend
568,Rizki Hakim,rizki487@gmail.com,08239741218,2019-12-29,PENDING
569,febri permana,febri204@gmail.com,08514334817,24-08-2018,Nonaktif
570,Dian Setiawan,dian421@hotmail.com,08131286716,2020-04-25,suspend
571,Wahyu Saputra,wahyu681@hotmail.com,08139949387,2021-02-02,aktif
572,rina laksono,rina409@ymail.com,08218597779,2018/06/10,aktif
573,Doni Nugroho,doni729@outlook.com,08519263296,2023-19-02,suspend
574,AGUS RAMADHAN,agus716@gmail.com,08212484137,12 Aug 2022,aktif
575,Fajar Wijaya,fajar517@outlook.com,08517243807,2018-04-20,non-aktif
576,Doni Hartono,doni409@yahoo.com,08510041257,2023-09-06,aktif
577,Surya Hidayat,surya449@yahoo.com,08524220912,2021-04-19,Nonaktif
578,RUDI SARI,rudi782@gmail.com,08222752308,2020-04-06,pending
579,Hendro Kusuma,hendro316@hotmail.com,08119006335,2020-09-04,aktif
580,Sari Santoso,sari346@yahoo.com,08123122068,18-03-2019,AKTIF
581,Fitri Iskandar,fitri555@hotmail.com,08511331552,2018-03-03,nonaktiff
582,Budi Hartono,teguh74@outlook.com,08229501364,2024-18-09,suspand
583,Andi Hakim,andi945@ymail.com,08134195625,2019/12/20,Pending
584,indah permana,indah19@ymail.com,08587683890,2020-08-10,non-aktif
585,Sri Purnomo,sri439@yahoo.com,08581025743,2019-14-09,Aktif
586,Ahmad Hidayat,ahmad613@hotmail.com,08232450864,2018-04-08,panding
587,Bagas Setiawan,bagas553@gmail.com,08213968527,2018-01-25,suspend
588,rizki wibowo,rizki145@yahoo.com,08131298338,2018-17-11,pending
589,Wahyu Sari,wahyu251@hotmail.com,08139344973,2021-18-01,aktif
590,Fajar Hartono,fajar483@hotmail.com,08518962706,2022-10-17,Pending
591,Wahyu Iskandar,wahyu567@yahoo.com,08226747468,2024-18-10,aktif
592,MuHAmmad peRmANa,muhammad955@ymail.com,08133645875,2018/08/25,nonaktif
593,Teguh Hidayat,teguh36@outlook.com,08112497243,02 Oct 2024,Suspend
594,DIAN SANTOSO,dian95@hotmail.com,08519183626,2020/11/01,AKTIF
595,Wulan Hartono,wulan752@hotmail.com,08121952436,2021-06-15,suspand
596,BAMBANG SANTOSO,fauzi120@hotmail.com,08536462252,2019-07-05,nonaktif
597,Ratna Kusuma,ratna834@yahoo.com,08133023467,2019/03/24,Aktif
598,Lestari Wijaya,lestari284@gmail.com,08230937710,08-09-2018,Pending
599,Budi Ramadhan,budi43@gmail.com,08218069847,23-04-2023,NON AKTIF
600,Bagas Nugroho,bagas352@outlook.com,08215669055,2019-02-15,nonaktif
601,rudi pratama,rudi126@ymail.com,08223579786,2020-02-09,suspand
602,Indah Santoso,indah895@gmail.com,08237397691,2021-27-11,Suspend
603,Citra Kusuma,citra301@ymail.com,08212898027,23-12-2018,PENDING
604,suRya LakSoNO,surya785@outlook.com,08214712871,2021-09-25,Suspend
605,Febri Wijaya,febri387@hotmail.com,08536334141,2019-04-02,aktiff
606,Eko Wibowo,eko119@ymail.com,08232569040,13 Aug 2024,Aktif
607,Ayu Saputra,ayu374@yahoo.com,08539931608,02-03-2023,aktif
608,Lestari Hidayat,lestari467@yahoo.com,08584209548,21-05-2019,suspand
609,Nisa Permana,nisa221@hotmail.com,08226052330,2020-04-01,pending
610,Wahyu Sari,wahyu562@hotmail.com,08236756618,05-03-2021,pending
611,Fitri Hakim,fitri135@outlook.com,08580472927,31-05-2023,suspend
612,Hendra Wibowo,hendra201@gmail.com,08239126620,29-01-2019,SUSPEND
613,AGUS RAHAYU,maya722@outlook.com,08586263013,2022-13-06,AKTIF
614,Febri Sari,febri385@gmail.com,08526475011,2018-12-05,Nonaktif
615,ratna hidayat,ratna587@ymail.com,08524192676,07 May 2021,aktif
616,Indah Wijaya,indah883@ymail.com,08136068887,19 Sep 2018,panding
617,Wulan Kusuma,wulan213@gmail.com,08139208751,2018-06-10,Nonaktif
618,Dian Wijaya,dian872@gmail.com,08121845826,2018-01-01,AKTIF
619,Hendro Purnomo,hendro456@yahoo.com,08587585988,2020/05/09,aktif
620,ahmad hidayat,ahmad146@outlook.com,08212983954,2019/06/11,non-aktif
621,Rizki Hakim,doni45@yahoo.com,08517146283,2018/10/17,pending
622,Fitri Nugroho,fitri664@ymail.com,08582625660,2024-10-08,aktif
623,SRI HAKIM,sri562@hotmail.com,08125155423,2021-01-25,aktif
624,Yuni Hartono,yuni802@gmail.com,08138497185,01-06-2024,Nonaktif
625,Febri Kusuma,febri175@outlook.com,08512588967,2024-08-23,Aktif
626,Ratna Pratama,ratna147@hotmail.com,08584053967,2020-20-01,suspand
627,Doni Firmansyah,doni976@hotmail.com,08533414651,2018-11-22,pending
628,Nur Sari,nur87@outlook.com,08537068277,2023/10/11,suspand
629,Wulan Kusuma,wulan632@yahoo.com,08116853890,2024-23-10,SUSPEND
630,hendro hIDAYat,hendro272@yahoo.com,08119634807,2024-05-12,aktif
631,Budi Iskandar,budi306@outlook.com,08120526501,2022-31-10,Aktif
632,Hendro Firmansyah,hendro421@gmail.com,08520243765,10-05-2021,nonaktif
633,Agus Hakim,agus112@hotmail.com,08522256053,2019-03-30,AKTIF
634,Muhammad Hartono,muhammad340@gmail.com,08133741678,2023/07/23,pending
635,Indah Hartono,indah946@hotmail.com,08131102258,2018/02/25,Aktif
636,Bagas Saputra,bagas756@gmail.com,08517447163,2024-12-04,pending
637,Agus Hidayat,agus118@outlook.com,08216371892,12 Feb 2020,non-aktif
638,RINA HIDAYAT,rina411@gmail.com,08223260931,2018-28-07,nonaktif
639,Wahyu Hidayat,wahyu437@hotmail.com,08118604145,23-02-2021,pending
640,Reza Setiawan,reza187@gmail.com,08110534749,2019-17-02,Aktif
641,Bambang Nugroho,bambang115@gmail.com,08118255598,12-10-2024,Aktif
642,Fauzi Wibowo,fauzi90@gmail.com,08139109337,2019-02-09,Suspend
643,Galih Setiawan,galih486@yahoo.com,08532023684,14-04-2024,suspend
644,Maya Kusuma,maya70@hotmail.com,08518802942,2021-04-01,Suspend
645,Dewi Wibowo,dewi408@hotmail.com,08538127868,2022-18-05,NON AKTIF
646,hendra sari,hendra586@yahoo.com,08580878844,21-06-2020,pending
647,suryA kUSuMA,surya2@outlook.com,08585518426,09-11-2024,AKTIF
648,Dewi Santoso,dewi225@outlook.com,08134089164,11 Oct 2024,Aktif
649,Maya Hidayat,agus547@outlook.com,08512736527,2019-19-01,Aktif
650,aGUs saRi,agus74@hotmail.com,08217618209,2019-13-02,nonaktif
651,Sri Santoso,sri660@gmail.com,08133142900,12 Mar 2019,pending
652,Bagas Wijaya,bagas492@ymail.com,08522457230,2024/02/05,Aktif
653,wulan kusuma,wulan46@gmail.com,08534186203,2018-04-09,nonaktif
654,Rina Nugroho,budi226@gmail.com,08127213145,09 Nov 2018,aktiff
655,Fajar Wijaya,fajar620@yahoo.com,08136859262,20 May 2021,PENDING
656,Putri Kusuma,putri512@outlook.com,08221022526,2023/01/04,Pending
657,CITRA WIJAYA,citra438@outlook.com,08131522655,2023-18-07,nonaktif
658,Sari Iskandar,sari342@yahoo.com,08216687887,22 Dec 2023,PENDING
659,Ayu Wijaya,ayu432@ymail.com,08583135030,24 Jan 2022,nonaktif
660,muhammad kusuma,muhammad358@outlook.com,08134728633,2020-07-08,pending
661,Sri Pratama,sri27@hotmail.com,08230191792,2018-05-04,aktip
662,NUR HIDAYAT,nur583@hotmail.com,08132728476,2021-13-10,Pending
663,BUDI PURNOMO,budi62@gmail.com,08582820667,2024/03/19,PENDING
664,Nisa Firmansyah,nur893@outlook.com,08134186236,2024-12-10,Aktif
665,Agus Hakim,agus80@hotmail.com,08525662056,08-03-2020,aktif
666,Rizki Nugroho,rizki867@outlook.com,08113428113,2024-09-11,Pending
667,Wahyu Wibowo,wahyu654@gmail.com,08214199097,2018-07-07,AKTIF
668,Wahyu Santoso,wahyu770@outlook.com,08518356521,2021-19-09,suspend
669,Ratna Kusuma,ratna794@yahoo.com,08119679042,2019/09/13,nonaktif
670,Nur Hidayat,nur827@yahoo.com,08138898572,20-10-2021,aktip
671,Teguh Rahayu,teguh793@hotmail.com,08213991297,2019-02-03,aktif
672,Wahyu Hakim,wahyu817@gmail.com,08521752421,21 Feb 2021,aktip
673,Nur WIjaYa,nur880@outlook.com,08516927589,08-07-2021,aktif
674,Sari Firmansyah,sari899@gmail.com,08580380214,2022-03-20,Nonaktif
675,Rizki Hidayat,rizki474@gmail.com,08237787112,2019-20-03,Pending
676,Fitri Hartono,fitri325@outlook.com,08587371470,2024-02-11,Suspend
677,Rina Wibowo,rina33@ymail.com,08510567303,2018/04/04,nonaktif
678,MEGA SARI,mega71@outlook.com,08511476834,2020-01-24,aktif
679,Teguh Setiawan,teguh305@yahoo.com,08215677826,2021/12/23,Nonaktif
680,Budi Hakim,budi612@yahoo.com,08129925502,2023-02-22,Nonaktif
681,Indah Kusuma,indah691@hotmail.com,08228072791,2018-05-30,pending
682,Fitri Saputra,fitri793@yahoo.com,08586353390,25-02-2022,aktif
683,Wahyu Firmansyah,wahyu128@hotmail.com,08526655868,2021-10-07,Suspend
684,Doni Saputra,doni567@ymail.com,08138664649,2019-02-11,PENDING
685,Andi Wijaya,andi632@hotmail.com,08127981789,2018/05/14,AKTIF
686,Sari Wibowo,sari466@ymail.com,08511371576,2022-06-10,Suspend
687,Yuni Firmansyah,yuni901@outlook.com,08226306000,21-09-2019,panding
688,Hendro Iskandar,hendro175@ymail.com,08513863960,2024-24-06,aktif
689,Ayu Sari,ayu326@ymail.com,08136312819,2022/05/25,Suspend
690,Surya Sari,surya209@gmail.com,08120609209,2024-02-05,Nonaktif
691,Siti Pratama,siti650@outlook.com,08133343836,2020/12/02,aktif
692,Nur Pratama,nur654@ymail.com,08121791124,2020-12-09,aktif
693,Bambang Nugroho,bambang213@hotmail.com,08127061713,2022-16-09,suspend
694,maYA SArI,maya560@gmail.com,08138413908,05 Apr 2018,Nonaktif
695,Rina Wibowo,rina118@yahoo.com,08115231244,2023-05-27,Suspend
696,Putri Hakim,putri479@hotmail.com,08518634234,2022-05-29,NON AKTIF
697,eKo Purnomo,eko920@gmail.com,08522084964,2024/10/09,Suspend
698,Hendro Nugroho,hendro118@yahoo.com,08236253135,2022-03-04,Pending
699,Sri Santoso,sri12@outlook.com,08217953816,07 Mar 2021,Aktif
700,Hendra Kusuma,hendra734@ymail.com,08129665533,2018-23-07,Nonaktif
701,FAUZI SAPUTRA,fauzi464@yahoo.com,08585963904,2018/03/15,Pending
702,Nisa Santoso,nisa292@yahoo.com,08510880501,2023-04-09,PENDING
703,Sari Purnomo,sari772@outlook.com,08511857906,2021/05/07,suspand
704,Bambang Kusuma,bambang961@ymail.com,08120300215,2022-11-20,Aktif
705,Fitri Nugroho,fitri551@gmail.com,08114010414,2021/09/10,non-aktif
706,Ayu Susanto,ayu948@yahoo.com,08587125296,2023/01/05,aktif
707,Hendro Hidayat,hendro678@hotmail.com,08225731441,16 Dec 2021,PENDING
